"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"SHRIRAMFIN",2705.8,3044,2690,2679,2934,9.52,6439336,18508519071.44,"23-Jul-2024"
"CIPLA",1504.75,1600,1501,1500.05,1586.5,5.76,4687416,7283635099.92,"02-Aug-2024"
"DIVISLAB",4570.95,4810,4563.85,4547,4792.25,5.39,1262221,5980579808.94,"02-Aug-2024"
"BHARTIARTL",1450.25,1520,1449.15,1449.15,1511.75,4.32,9564987,14339924160.27,"11-Aug-2023"
"APOLLOHOSP",6433,6679.95,6393.55,6385.8,6650,4.14,432671,2851682640.48,"20-Feb-2024"
"ADANIPORTS",1495.9,1547.9,1490,1487,1540.75,3.61,4500728,6888724262.24,"14-Jun-2024"
"WIPRO",510,528.55,508.5,506.85,524.5,3.48,13076998,6810108248.46,"16-Jul-2024"
"ADANIENT",2995,3109,2988.1,2973.5,3072.25,3.32,1942427,5956471819.77,"14-Jun-2024"
"TATASTEEL",158.75,162.95,158.21,157.39,162.62,3.32,45642032,7388532140.16,"21-Jun-2024"
"SUNPHARMA",1670.45,1723.8,1665,1665.8,1721,3.31,4591049,7803130522.36,"12-Jul-2024"
"SBILIFE",1686.25,1777.7,1686.25,1695.4,1750.6,3.26,2982227,5216362357.05,"15-Mar-2024"
"LTIM",5599.85,5811.9,5585.05,5597.9,5780,3.25,497275,2862056317,"19-Jun-2024"
"HCLTECH",1602.8,1640,1594,1587.6,1638.8,3.22,2814159,4572980233.41,"23-Jul-2024"
"HINDALCO",660,668.5,655,646.55,667.05,3.17,4730539,3137529991.75,"14-Aug-2023"
"INFY",1825.35,1883,1825.35,1824.85,1880,3.02,11369047,21281491698.36,"31-May-2024"
"HDFCLIFE",683.15,709.8,682.05,683.15,703.25,2.94,8933046,6259831984.5,"21-Jun-2024"
"COALINDIA",498.25,511.7,498.25,494,508.45,2.93,20437968,10383714022.08,"20-Feb-2024"
"JSWSTEEL",880,908.8,875.3,874.5,899,2.8,2056457,1849022182.41,"09-Jul-2024"
"M&M",2821.6,2897.4,2790,2811.4,2881.8,2.5,2352661,6730563168.63,"05-Jul-2024"
"ITC",494.05,506.4,487.4,489.95,501.55,2.37,20736094,10330929391.74,"04-Jun-2024"
